category,company,description,experience_level,job_type,location,posted_date,salary,title,url
N/A,RT Knits Ltd,"Pattern Maker or Junior Pattern Maker Black River Not disclosed Permanent Added 18/02/2026 Closing 20/03/2026 Login to apply Responsible to draft development pattern for menswear, ladieswear and kidswear style Job Description:Responsible to draft development pattern for menswear, ladieswear and kidswear style.Cnduct fit session for prototypes and provide fit solutions.Communicates and assit customer technical query.Grading and Costing SkillsQualification and Skills Requirement:Degree or diploma in textile and fashion design or fashion technology or garment making.minimum 1 or 2 years of experience in pattern making using Gerber or Lectra software.Wll conversant with grading technique.Possess a sound knowledge in garment construction and technique of sewing.Ability to conduct fit sessions and understand pattern alterations.Understand fabric reaction and how to adapt pattern design. Login to apply Report This Job",,,,,Not specified,Pattern Maker or Junior Pattern Maker,https://www.myjob.mu:443/Jobs/Pattern-Maker-or-Junior-Pattern-206753.aspx
N/A,undisclosed,"ADMINISTRATIVE &amp; ACCOUNTING SECRETARY Mauritius Negotiable Permanent Added 09/02/2026 Closing 11/03/2026 Login to apply We pride ourselves on excellence—from high-quality fit-out projects to smooth internal coordination. As we grow, we’re looking for a proactive, detail-oriented Administrative Secretary to support daily operations and help drive efficiency and professionalism.” 📌 Your RoleAs an Administrative Secretary, you will play a key role in supporting our management and operations teams by handling essential administrative tasks, managing communications, and keeping our office organized. You’ll be the go-to person for ensuring smooth internal processes and reliable documentation. 🗂️ Key Responsibilities📋 Administrative &amp; Office SupportManage and maintain schedules, appointments, and travel arrangements for senior staffPrepare, format, and manage business correspondence and documentationOrganize and maintain both digital and physical filing systemsHandle incoming calls, e",,,,,,ADMINISTRATIVE & ACCOUNTING SECRETARY,https://www.myjob.mu:443/Jobs/ADMINISTRATIVE-ACCOUNTING-SECRETARY-206284.aspx
N/A,undisclosed,"🏗️ SITE MANAGER Mauritius 51,000 - 75,000 Permanent Added 12/02/2026 Closing 14/03/2026 Login to apply You will be responsible for the overall management and execution of fit-out projects on site. You will act as the key link between the office, subcontractors, suppliers, and clients, ensuring that projects are delivered on time, within budget, and to the required quality standards. 🏢 About UsWe pride ourselves on delivering high-quality fit-out solutions that transform commercial and residential spaces while exceeding client expectations. Our expertise covers the full fit-out cycle, from coordination and site execution to final handover.As we continue to grow, we are seeking a dedicated and experienced Site Manager (Fit-Out) to join our dynamic team and lead site operations with precision, efficiency, and professionalism. Key Responsibilities📌 Site &amp; Project Management• Manage day-to-day site operations for fit-out projects from commencement to completion • Plan, coordinate, and s",,,,,Not specified,🏗️ SITE MANAGER,https://www.myjob.mu:443/Jobs/SITE-MANAGER-206499.aspx
N/A,Rey & Lenferna Ltd,"Electrical Technician Port Louis Negotiable Permanent Added 18/02/2026 Closing 20/03/2026 Human Resource Login to apply We have exciting opportunities for Technicians (Electrical) to join our dynamic Team to enhance our effectiveness and efficiency for the reparation, installation, and maintenance of related equipment within reasonable time and to ensure quality service. Rey &amp; Lenferna Ltd is a recognised institution in Trading, Mechanical, Electrical and Plumbing (MEP) projects as well as in the Automotive Aftermarket and presently holds over 50 exclusive brand representations.The company’s engagement is to provide customised and innovative integrated solutions to its clients, with a focus on customer service.Job ProfileWe have exciting opportunities for Electrical Technicians to join our dynamic Team to enhance our effectiveness and efficiency for the reparation, installation, and maintenance of related equipment within reasonable time and to ensure quality service.Role &amp; Res",,,,,,Electrical Technician,https://www.myjob.mu:443/Jobs/Electrical-Technician-206754.aspx
N/A,M5 Capital,"CASHIER Plaine Wilhems Negotiable Permanent Added 18/02/2026 Closing 20/03/2026 HR 2 Login to apply As a cashier, you will be responsible for processing customer purchases accurately and providing great service. Your duties include operating cash registers, handling cash transactions, and keeping the checkout area clean. Key Responsibilities:Greet and assist customers promptly, addressing questions and concerns.Operate cash registers and point-of-sale equipment to process sales accurately.Scan items, handle various forms of payment (cash, credit/debit cards, checks, coupons), and provide change and receipts.Maintain a balanced cash drawer, reporting discrepancies to the supervisor.Ensure accurate pricing, apply discounts or promotions, and bag items efficiently.Keep the checkout area clean and organised, ensuring necessary supplies are available.Inform customers about special offers, promotions, or store loyalty programs.Comply with company policies and legal regulations regarding tran",,,,,,CASHIER,https://www.myjob.mu:443/Jobs/CASHIER-206755.aspx
N/A,undisclosed,"Réviseur senior Moka Negotiable Permanent Added 04/02/2026 Closing 06/03/2026 Login to apply Mission principale Assurer la production, la supervision et la qualité des travaux comptables et fiscaux, tout en garantissant la fiabilité des données, le respect des normes et l’accompagnement des équipes. Responsabilités principalesProduction comptable et fiscaleOrganiser, produire et contrôler les déclarations de TVA (simples et complexes)Produire les IRPP simples et complexesGérer les cycles comptables :Cycles de révision de base (hors fiscalité et social)Cycle fiscal (hors TVA)Cycle des capitaux propresCycle socialCycle de rémunération du dirigeant (Cotisations TNS)Réaliser les travaux de finalisation :Comptes annuels et liasse fiscaleTravaux de finalisation simples (régime simplifié)Qualité, contrôle et supervisionAssurer la qualité de la production par un suivi régulier, en lien avec la hiérarchieTerminer et superviser la révision des dossiers réalisés par les réviseurs juniorsSupervise",,,,,,Réviseur senior,https://www.myjob.mu:443/Jobs/Reviseur-senior-205955.aspx
N/A,Grays,"Sales Representative - Cosmetics Pamplemousses Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Hansee Bedacee Login to apply Are you passionate about beauty and retail excellence? Join our dynamic team as a Sales Representative – Cosmetics, where every day brings a new opportunity to showcase top-quality products and build lasting relationships with our clients. Provide a welcoming, inspirational and personalized in-store experienceCreate loyalty and increase demand through dynamic selling approachCreate impact with product demonstration and in-store eventsManage stocks rotation and stock on hand through regular countProvide various face and body treatments to clientPresent, promote and sell a wide range of beauty products, including cosmetics, makeup, perfumes and skin care creamsConduct skin analyses, giving massage treatments, manicure, pedicure and using temporary and permanent hair removal techniquesEnsure all areas are clean and equipment is sterilized before useEnsur",,,,,Not specified,Sales Representative - Cosmetics,https://www.myjob.mu/Jobs/Sales-Representative-Cosmetics-206580.aspx
N/A,PREMIER FINANCIAL SERVICES LIMITED,"Compliance Analyst/Senior Compliance Analyst Port Louis Negotiable Permanent Added 13/02/2026 Closing 28/02/2026 Samila Reesaul Login to apply PREMIER FINANCIAL SERVICES LIMITED is seeking to recruit Compliance Analyst/Senior Compliance Analyst within its compliance department: The duties and responsibilities involved are as follows: Assist in conducting compliance monitoring and internal reviews. Assist with compliance checks Assist in discounting hits on AML/CFT software Review Client Risk Assessments (CRA) and Business Risk Assessments (BRA). Assist in drafting of compliance reports and MLRO reports Assist in Transaction Monitoring as required Assist in drafting policies, procedures, and internal compliance communications. Track and follow up on outstanding compliance matters and deadlines. Liaise with internal teams and external stakeholders to ensure timely completion of compliance requirements. Support the Compliance Officer/Manager in ad-hoc projects and regulatory audits. All o",,,,,,Compliance Analyst/Senior Compliance Analyst,https://www.myjob.mu/Jobs/Compliance-Analyst-Senior-Compliance-Analyst-206581.aspx
N/A,Omnicane Limited,"SAFETY &amp; HEALTH OFFICER Savanne Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Login to apply The Safety &amp; Health Officer will support the Safety &amp; Health Manager to ensure compliance with Occupational Safety and Health Act 2005. Main DutiesEnsure compliance with Occupational Safety and health Act 2005.Carry out regular occupational safety and health audits to identify risks to safety and health, assess the need for preventive measures and advise the employer accordingly.Make regular inspections on the different sites.Design and implement appropriate training programmes to promote safety culture.Review any measure, method, procedure or technique adopted to ensure occupational safety and health.Develop effective communication systems on occupational safety and health between the employer and any employee.Coordinate the phased implementation of relevant Healthand Safety Management standards.ProfileHolder of a valid driving license.Good leadership and organization",,,,,Not specified,SAFETY & HEALTH OFFICER,https://www.myjob.mu/Jobs/SAFETY-HEALTH-OFFICER-206579.aspx
N/A,AAMIL (Mauritius) Ltd,"Corporate Officer Port Louis Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Poonam Babajee Login to apply Profile: Holder of a university degree preferably in Business Management or any other equivalent qualifications; Relevant experience of 1-2 years; Good knowledge of regulators governing the global business sector. Job description: Assisting clients in implementation and administration of their structures in Mauritius; Set-up of various structures ranging from GBC, Authorised Companies, Trusts, IBC and Foundations; Taking care of the day-to-day corporate administration and operations of the portfolio and following up with third parties, including banks, authorities and clients; Initiate dissolution process for entities as and when required; Perform required level of due diligence review and ensure proper CDD are on file; Processing payment instructions both manually and on internet banking; Assist in preparation of resolutions; Ensuring the portfolio complies with statu",,,,,Not specified,Corporate Officer,https://www.myjob.mu/Jobs/Corporate-Officer-206582.aspx
N/A,IQ-EQ Mauritius,"Accountant 1, Private Wealth Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. An entry-level position responsible for performing basic accounting and administrative tasks for privatewealth clients under direct supervision. This role supports fundamental financial operations whiledeveloping knowledge of trust and company structures, focusing on accuracy and attention to detail inroutine processing activities.Core Responsibilities:• Support private wealth accounting operations• Maintain basic financial records and documentation• Follow established compliance procedures• Assist with routine client administration• Build knowledge of trust and corporate structures• Support team administrative functionsTasks:• Process basic bookkeeping entries• Update accou",,,,,Not specified,"Accountant 1, Private Wealth Accounting",https://www.myjob.mu/Jobs/Accountant-1-Private-Wealth-Accounting-206583.aspx
N/A,CG Re (Africa) Ltd,"Graduate Programme- Finance and Reinsurance Plaine Wilhems Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 HR Manager Login to apply The CGRE Group started its journey with Africa at the core of its strategy. Being part of one of the largest listed groups on the Stock Exchange of Mauritius, the CGRE Group is built on a solid foundation and deeply rooted values. These have contributed to the growth of the CGRE Group. Job DescriptionWe are seeking dynamic and motivated fresh graduates to join our organisation in the Reinsurance sector.As part of our team, you will be immersed in a fast‑paced, collaborative, and international environment. You will work alongside experienced professionals, support day‑to‑day operations, and contribute to departmental initiatives. Throughout the programme, you will gain hands‑on experience, practical technical skills, and industry insight, helping you lay a strong foundation for a successful career in the finance and reinsurance sector.Profile:F",,,,,Not specified,Graduate Programme- Finance and Reinsurance,https://www.myjob.mu/Jobs/Graduate-Programme-Finance-and-Reinsurance-206584.aspx
N/A,IQ-EQ Mauritius,"Officer 2, Operational Compliance Services Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A junior position responsible for handling low to moderate complexity AML/KYC and FATCA matters with moderate supervision. This role independently executes standard compliance activities while developing deeper understanding of regulatory requirements and risk assessment procedures.Core Responsibilities:Execute standard AML/KYC processesPerform basic risk assessmentsMaintain regulatory documentationSupport client communicationMonitor compliance requirementsProcess FATCA/CRS documentationEnsure data accuracy and completenessTasks:Review KYC documentation for completenessProcess standard investor onboarding filesMonitor compliance deadlinesValidate FATCA classificationsVeri",,,,,Not specified,"Officer 2, Operational Compliance Services",https://www.myjob.mu/Jobs/Officer-2-Operational-Compliance-Services-206585.aspx
N/A,IQ-EQ Mauritius,"Senior Officer, Operational Compliance Services Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A review position responsible for ensuring quality and accuracy of AML/KYC and FATCA deliverablesacross all complexity levels. This role reviews compliance documentation, validates risk assessments,and provides technical input while ensuring adherence to regulatory standards.Core Responsibilities:• Review AML/KYC deliverables• Validate risk assessments• Ensure regulatory compliance• Monitor quality standards• Review FATCA/CRS documentation• Validate complex structures• Oversee periodic reviewsTasks:• Review complex KYC files• Validate risk assessment decisions• Review CDD/EDD documentation• Verify compliance conclusions• Review FATCA classifications• Validate regulat",,,,,Not specified,"Senior Officer, Operational Compliance Services",https://www.myjob.mu/Jobs/Senior-Officer-Operational-Compliance-Services-206586.aspx
N/A,IQ-EQ Mauritius,"Assistant Manager, Private Wealth Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A technical expert position responsible for providing specialized knowledge in private wealth serviceswithout supervisory duties. This role serves as the primary subject matter expert for trust structures, taxtreatments, and technical requirements while delivering training and guidance on complex matters.Core Responsibilities:Provide technical leadership in private wealth servicesDrive technical excellence and standardsProvide expertise to help develop technical training materials with Global Technical TrainingTeamMonitor regulatory and industry changesResolve complex technical mattersGuide implementation of best practicesChampion quality control processesTasks:Review c",,,,,Not specified,"Assistant Manager, Private Wealth Accounting",https://www.myjob.mu/Jobs/Assistant-Manager-Private-Wealth-Accounting-206587.aspx
N/A,IQ-EQ Mauritius,"Compliance Officer Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. Why join us?A stimulating, demanding, and supportive environmentHigh-impact missions at the heart of regulatory issuesAn experienced and dynamic teamInternational exposureProfessional development supported by continuous training opportunitiesYour missionsSupport teams working with clients in France on assistance or delegation missions under the responsibility of a managerDevelop normative documents (policies, procedures, mappings, and registers) for client companiesParticipate in updating our tools and standard procedures in connection with regulatory monitoringAssist managers with administrative tasks related to mission management, follow-up of engagement letters, and internal reporting tablesQ",,,,,Not specified,Compliance Officer,https://www.myjob.mu/Jobs/Compliance-Officer-206588.aspx
N/A,IQ-EQ Mauritius,"Risk Analyst Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now IQ-EQ is a leading Investor Services group which combines global expertise with an unwavering focus on client service delivery. We support fund managers, global companies, family offices and private clients operating worldwide. Job DescriptionIQ-EQ est un groupe leader de services aux investisseurs, en pleine expansion, qui réunit une rare combinaison d’expertise au niveau mondial et de compréhension fine des besoins de ses clients.Nous possédons le savoir-faire et les connaissances qui nous permettent d’accompagner au mieux les gestionnaires de fonds d’investissements, les détenteurs d’actifs, les entreprises françaises et filiales de groupes internationaux, les family offices et les clients privés.IQ-EQ emploie plus de 5.000 personnes dans 25 pays et administre des actifs qui se chiffrent à plus de 500 milliards de US dollars. IQ-EQ travaille avec huit des dix premières soci",,,,,Not specified,Risk Analyst,https://www.myjob.mu/Jobs/Risk-Analyst-206589.aspx
N/A,IQ-EQ Mauritius,"Officer 1, Corporate Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. As a fully qualified Corporate Accountant you will draw on your existing experience and work closely with the Principal on all aspects of corporate accounting except the review stage and also master fund accounting.You will build strong customer relationships with existing and new clients, gaining insight into their needs and delivering customer-centric solutions. You’ll be highly organized, pay close attention to detail and know your subject matter especially when working with colleagues from different teams ensuring there are clear instructions during the handover of work.Compliance and regulations has never been more complex; you’ll need to ensure we comply and meet our obligatio",,,,,Not specified,"Officer 1, Corporate Accounting",https://www.myjob.mu/Jobs/Officer-1-Corporate-Accounting-206590.aspx
N/A,IQ-EQ Mauritius,"Accountant 2, Corporate Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. Job Summary:A mid-level accounting position responsible for delivering comprehensive corporate accounting services with minimal supervision. This role handles both low and medium complexity clients, focusing on core accounting processes. The position requires independent execution of established procedures while maintaining quality and timeliness standards in financial reporting and compliance requirements.Core Responsibilities:• Handle low to moderate complexity accounting tasks independently• Ensure accurate and timely completion of assigned deliverables• Build knowledge of client requirements and industry practices• Apply relevant accounting standards and requirements• Seek fe",,,,,Not specified,"Accountant 2, Corporate Accounting",https://www.myjob.mu/Jobs/Accountant-2-Corporate-Accounting-206591.aspx
N/A,IQ-EQ Mauritius,"Accountant 2, Fund Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A mid-level accounting position responsible for delivering comprehensive fund accounting services with minimal supervision. This role handles both low and medium complexity funds, focusing on core accounting processes and standard cluster communications. The position requires independent execution of established procedures while maintaining quality and timeliness standards.Core Responsibilities:Prepare financial statements, NAV reports, and other deliverables using prescribed guidelinesEnsure accuracy and timeliness of work within established standards and following detailed checklistsApply relevant accounting standards and requirements as directedFollow quality control processes and ",,,,,Not specified,"Accountant 2, Fund Accounting",https://www.myjob.mu/Jobs/Accountant-2-Fund-Accounting-206592.aspx
N/A,IQ-EQ Mauritius,"Officer 2, Private Wealth Administration Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. You will master all aspects of corporate secretarial and corporate legal work related to each type of corporate structure. You will work under supervision of your team leader and communicate to clients on routine operational matters to resolve issues that have no immediate impact on the client relationship.Working closely with the Cluster (linked to a client) you will build strong customer relationships with existing and new clients, gaining insight into their needs and delivering customer-centric solutions. Knowing how to foster open dialogue, working collaboratively and instilling trust, through honesty, integrity and sincerity will be key. As you share your knowledge and",,,,,Not specified,"Officer 2, Private Wealth Administration",https://www.myjob.mu/Jobs/Officer-2-Private-Wealth-Administration-206593.aspx
N/A,Grays,"Sales Representative - Cosmetics Pamplemousses Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Hansee Bedacee Login to apply Are you passionate about beauty and retail excellence? Join our dynamic team as a Sales Representative – Cosmetics, where every day brings a new opportunity to showcase top-quality products and build lasting relationships with our clients. Provide a welcoming, inspirational and personalized in-store experienceCreate loyalty and increase demand through dynamic selling approachCreate impact with product demonstration and in-store eventsManage stocks rotation and stock on hand through regular countProvide various face and body treatments to clientPresent, promote and sell a wide range of beauty products, including cosmetics, makeup, perfumes and skin care creamsConduct skin analyses, giving massage treatments, manicure, pedicure and using temporary and permanent hair removal techniquesEnsure all areas are clean and equipment is sterilized before useEnsur",,,,,Not specified,Sales Representative - Cosmetics,https://www.myjob.mu:443/Jobs/Sales-Representative-Cosmetics-206580.aspx
N/A,PREMIER FINANCIAL SERVICES LIMITED,"Compliance Analyst/Senior Compliance Analyst Port Louis Negotiable Permanent Added 13/02/2026 Closing 28/02/2026 Samila Reesaul Login to apply PREMIER FINANCIAL SERVICES LIMITED is seeking to recruit Compliance Analyst/Senior Compliance Analyst within its compliance department: The duties and responsibilities involved are as follows: Assist in conducting compliance monitoring and internal reviews. Assist with compliance checks Assist in discounting hits on AML/CFT software Review Client Risk Assessments (CRA) and Business Risk Assessments (BRA). Assist in drafting of compliance reports and MLRO reports Assist in Transaction Monitoring as required Assist in drafting policies, procedures, and internal compliance communications. Track and follow up on outstanding compliance matters and deadlines. Liaise with internal teams and external stakeholders to ensure timely completion of compliance requirements. Support the Compliance Officer/Manager in ad-hoc projects and regulatory audits. All o",,,,,,Compliance Analyst/Senior Compliance Analyst,https://www.myjob.mu:443/Jobs/Compliance-Analyst-Senior-Compliance-Analyst-206581.aspx
N/A,Omnicane Limited,"SAFETY &amp; HEALTH OFFICER Savanne Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Login to apply The Safety &amp; Health Officer will support the Safety &amp; Health Manager to ensure compliance with Occupational Safety and Health Act 2005. Main DutiesEnsure compliance with Occupational Safety and health Act 2005.Carry out regular occupational safety and health audits to identify risks to safety and health, assess the need for preventive measures and advise the employer accordingly.Make regular inspections on the different sites.Design and implement appropriate training programmes to promote safety culture.Review any measure, method, procedure or technique adopted to ensure occupational safety and health.Develop effective communication systems on occupational safety and health between the employer and any employee.Coordinate the phased implementation of relevant Healthand Safety Management standards.ProfileHolder of a valid driving license.Good leadership and organization",,,,,Not specified,SAFETY & HEALTH OFFICER,https://www.myjob.mu:443/Jobs/SAFETY-HEALTH-OFFICER-206579.aspx
N/A,AAMIL (Mauritius) Ltd,"Corporate Officer Port Louis Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Poonam Babajee Login to apply Profile: Holder of a university degree preferably in Business Management or any other equivalent qualifications; Relevant experience of 1-2 years; Good knowledge of regulators governing the global business sector. Job description: Assisting clients in implementation and administration of their structures in Mauritius; Set-up of various structures ranging from GBC, Authorised Companies, Trusts, IBC and Foundations; Taking care of the day-to-day corporate administration and operations of the portfolio and following up with third parties, including banks, authorities and clients; Initiate dissolution process for entities as and when required; Perform required level of due diligence review and ensure proper CDD are on file; Processing payment instructions both manually and on internet banking; Assist in preparation of resolutions; Ensuring the portfolio complies with statu",,,,,Not specified,Corporate Officer,https://www.myjob.mu:443/Jobs/Corporate-Officer-206582.aspx
N/A,IQ-EQ Mauritius,"Accountant 1, Private Wealth Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. An entry-level position responsible for performing basic accounting and administrative tasks for privatewealth clients under direct supervision. This role supports fundamental financial operations whiledeveloping knowledge of trust and company structures, focusing on accuracy and attention to detail inroutine processing activities.Core Responsibilities:• Support private wealth accounting operations• Maintain basic financial records and documentation• Follow established compliance procedures• Assist with routine client administration• Build knowledge of trust and corporate structures• Support team administrative functionsTasks:• Process basic bookkeeping entries• Update accou",,,,,Not specified,"Accountant 1, Private Wealth Accounting",https://www.myjob.mu:443/Jobs/Accountant-1-Private-Wealth-Accounting-206583.aspx
N/A,CG Re (Africa) Ltd,"Graduate Programme- Finance and Reinsurance Plaine Wilhems Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 HR Manager Login to apply The CGRE Group started its journey with Africa at the core of its strategy. Being part of one of the largest listed groups on the Stock Exchange of Mauritius, the CGRE Group is built on a solid foundation and deeply rooted values. These have contributed to the growth of the CGRE Group. Job DescriptionWe are seeking dynamic and motivated fresh graduates to join our organisation in the Reinsurance sector.As part of our team, you will be immersed in a fast‑paced, collaborative, and international environment. You will work alongside experienced professionals, support day‑to‑day operations, and contribute to departmental initiatives. Throughout the programme, you will gain hands‑on experience, practical technical skills, and industry insight, helping you lay a strong foundation for a successful career in the finance and reinsurance sector.Profile:F",,,,,Not specified,Graduate Programme- Finance and Reinsurance,https://www.myjob.mu:443/Jobs/Graduate-Programme-Finance-and-Reinsurance-206584.aspx
N/A,IQ-EQ Mauritius,"Officer 2, Operational Compliance Services Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A junior position responsible for handling low to moderate complexity AML/KYC and FATCA matters with moderate supervision. This role independently executes standard compliance activities while developing deeper understanding of regulatory requirements and risk assessment procedures.Core Responsibilities:Execute standard AML/KYC processesPerform basic risk assessmentsMaintain regulatory documentationSupport client communicationMonitor compliance requirementsProcess FATCA/CRS documentationEnsure data accuracy and completenessTasks:Review KYC documentation for completenessProcess standard investor onboarding filesMonitor compliance deadlinesValidate FATCA classificationsVeri",,,,,Not specified,"Officer 2, Operational Compliance Services",https://www.myjob.mu:443/Jobs/Officer-2-Operational-Compliance-Services-206585.aspx
N/A,IQ-EQ Mauritius,"Senior Officer, Operational Compliance Services Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A review position responsible for ensuring quality and accuracy of AML/KYC and FATCA deliverablesacross all complexity levels. This role reviews compliance documentation, validates risk assessments,and provides technical input while ensuring adherence to regulatory standards.Core Responsibilities:• Review AML/KYC deliverables• Validate risk assessments• Ensure regulatory compliance• Monitor quality standards• Review FATCA/CRS documentation• Validate complex structures• Oversee periodic reviewsTasks:• Review complex KYC files• Validate risk assessment decisions• Review CDD/EDD documentation• Verify compliance conclusions• Review FATCA classifications• Validate regulat",,,,,Not specified,"Senior Officer, Operational Compliance Services",https://www.myjob.mu:443/Jobs/Senior-Officer-Operational-Compliance-Services-206586.aspx
N/A,IQ-EQ Mauritius,"Assistant Manager, Private Wealth Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. A technical expert position responsible for providing specialized knowledge in private wealth serviceswithout supervisory duties. This role serves as the primary subject matter expert for trust structures, taxtreatments, and technical requirements while delivering training and guidance on complex matters.Core Responsibilities:Provide technical leadership in private wealth servicesDrive technical excellence and standardsProvide expertise to help develop technical training materials with Global Technical TrainingTeamMonitor regulatory and industry changesResolve complex technical mattersGuide implementation of best practicesChampion quality control processesTasks:Review c",,,,,Not specified,"Assistant Manager, Private Wealth Accounting",https://www.myjob.mu:443/Jobs/Assistant-Manager-Private-Wealth-Accounting-206587.aspx
N/A,IQ-EQ Mauritius,"Compliance Officer Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. Why join us?A stimulating, demanding, and supportive environmentHigh-impact missions at the heart of regulatory issuesAn experienced and dynamic teamInternational exposureProfessional development supported by continuous training opportunitiesYour missionsSupport teams working with clients in France on assistance or delegation missions under the responsibility of a managerDevelop normative documents (policies, procedures, mappings, and registers) for client companiesParticipate in updating our tools and standard procedures in connection with regulatory monitoringAssist managers with administrative tasks related to mission management, follow-up of engagement letters, and internal reporting tablesQ",,,,,Not specified,Compliance Officer,https://www.myjob.mu:443/Jobs/Compliance-Officer-206588.aspx
N/A,IQ-EQ Mauritius,"Risk Analyst Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now IQ-EQ is a leading Investor Services group which combines global expertise with an unwavering focus on client service delivery. We support fund managers, global companies, family offices and private clients operating worldwide. Job DescriptionIQ-EQ est un groupe leader de services aux investisseurs, en pleine expansion, qui réunit une rare combinaison d’expertise au niveau mondial et de compréhension fine des besoins de ses clients.Nous possédons le savoir-faire et les connaissances qui nous permettent d’accompagner au mieux les gestionnaires de fonds d’investissements, les détenteurs d’actifs, les entreprises françaises et filiales de groupes internationaux, les family offices et les clients privés.IQ-EQ emploie plus de 5.000 personnes dans 25 pays et administre des actifs qui se chiffrent à plus de 500 milliards de US dollars. IQ-EQ travaille avec huit des dix premières soci",,,,,Not specified,Risk Analyst,https://www.myjob.mu:443/Jobs/Risk-Analyst-206589.aspx
N/A,IQ-EQ Mauritius,"Officer 1, Corporate Accounting Mauritius Not disclosed Permanent Added 13/02/2026 Closing 15/03/2026 Divya Rampadaruth Apply Now We’re a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. As a fully qualified Corporate Accountant you will draw on your existing experience and work closely with the Principal on all aspects of corporate accounting except the review stage and also master fund accounting.You will build strong customer relationships with existing and new clients, gaining insight into their needs and delivering customer-centric solutions. You’ll be highly organized, pay close attention to detail and know your subject matter especially when working with colleagues from different teams ensuring there are clear instructions during the handover of work.Compliance and regulations has never been more complex; you’ll need to ensure we comply and meet our obligatio",,,,,Not specified,"Officer 1, Corporate Accounting",https://www.myjob.mu:443/Jobs/Officer-1-Corporate-Accounting-206590.aspx
